time,src_ip,dst_ip,protocol,src_port,dst_port,size
2026-02-22 18:04:50,148.113.16.36,10.138.126.24,TCP,443,43254,66
2026-02-22 18:04:50,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:04:51,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:04:51,148.113.16.36,10.138.126.24,TCP,443,43254,66
2026-02-22 18:04:53,10.138.126.24,1.1.1.1,ICMP,,,98
2026-02-22 18:04:53,1.1.1.1,10.138.126.24,ICMP,,,98
2026-02-22 18:04:54,10.138.126.24,1.1.1.1,ICMP,,,98
2026-02-22 18:04:54,1.1.1.1,10.138.126.24,ICMP,,,98
2026-02-22 18:06:23,148.113.16.36,10.138.126.24,TCP,443,43254,66
2026-02-22 18:06:23,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:06:23,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:06:23,148.113.16.36,10.138.126.24,TCP,443,43254,66
2026-02-22 18:10:28,148.113.16.36,10.138.126.24,TCP,443,43254,66
2026-02-22 18:10:28,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:10:28,10.138.126.24,148.113.16.36,TCP,43254,443,66
2026-02-22 18:10:29,148.113.16.36,10.138.126.24,TCP,443,43254,66
